id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,last_page,ip_address,start_time,correct,chosen_card,report3,observed,belief1,belief2,belief3,belief_observed,payoff,gender,ethnicity,race,age,education,state,income,q1,q2,q3,correct_belief,realdata
1,VCTM2,yqssat42rum43riq,P2,1109375355,1,30,30,1,58,12,64.53.253.93,2018-08-07 23:22:51.054489+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,41,Some college,14,"< $10,000",See if participants can understand complex directions to maximize payouts for the group.,7,"After I answered the questions to show I understood the directions, I got a page saying:  You are P3. The number below was the message sent by P1 reporting on the hidden number that was drawn.   30  You can see the hidden number P1 drew by clicking on the show button or proceed to send the final message by clicking on continue:    The directions sound like those for P2, even though it says I was P3.  Once I clicked to see the hidden number I was then told I was P2, and the page also said:  The objective of the game is to send messages so that P3 would report in the final message the hidden number drawn by P1.     The original instructions stated P3 did nothing but observe.",0,1
2,VCTM2,5s6k4455rum43riq,P2,1394737213,6,6,6,1,29,12,76.182.236.77,2018-08-07 17:54:35.745600+00:00,Passed,,,Observed,,,,,6,Female,Non hispanic,White,43,College diploma,43,"$10,000 - $19,999",THE GOAL IS TO ACCURATELY REPORT THE HIDDEN NUMBER TO THE NEXT PLAYER OR AS THE FINAL REPORT,4,THE INSTRUCTIONS WERE A LITTLE CONFUSING AND TOOK AWHILE TO READ,0,1
3,VCTM2,mzl3orw3rum43riq,P2,1588621975,8,8,8,1,35,12,63.153.165.204,2018-08-07 18:22:08.137804+00:00,Passed,,,Observed,,,,,8,Female,Non hispanic,White,32,Masters degree,41,"$20,000 - $29,999","The goal is to report the hidden number; however, I suspect many others would have reported higher for more earnings.",4,"No changes, well understood.",0,1
4,VCTM2,sfi3srfrrum43riq,P2,2005946173,29,29,29,1,8,12,73.73.78.247,2018-08-07 16:30:48.625734+00:00,Passed,,,Observed,,,,,29,Female,Non hispanic,Hispanic/Latino/Latina,34,Some college,14,"$30,000 - $39,999",a game of telephone.,4,I think the instructions could have been told in a less tedious manner. It felt like it took forever to read all those instructions for a game that lasted all of 3 seconds. The instructions given made the game seem like it was harder than what it really was.,0,1
5,VCTM2,izgdb6f1rum43riq,P2,2155117948,14,14,14,1,26,12,73.86.34.213,2018-08-07 17:48:15.113307+00:00,Passed,,,Observed,,,,,14,Male,Non hispanic,Black/African American,46,Masters degree,20,"< $10,000",I guess this is somehow testing on how the desire to make money might influence decision making.,2,It is a bit difficult. I had to read through 2.5 times to get it.,0,1
6,VCTM2,kros09l4rum43riq,P2,2636262415,26,30,26,1,62,12,73.90.215.133,2018-08-08 00:07:21.834171+00:00,Passed,,,Observed,,,,,26,Female,Non hispanic,White,34,Some college,5,"< $10,000",How honest people are when dealing with how others get paid.,5,It seemed very complex and required a lot of thought on my part.,0,1
7,VCTM2,xmuu0kcgrum43riq,P2,2923876750,7,28,30,1,13,12,71.210.55.66,2018-08-07 17:02:11.574768+00:00,Passed,,,Observed,,,,,30,Male,Non hispanic,White,28,High school or equivalent,33,"< $10,000",I really have no idea? I think I just wanted to put the highest number possible since my reward would be 5x that number and since I could report 1-30 I picked 30.,3,"I don't know. The game was very confusing even though I read the directions several times. Well the game wasn't confusing, just the goal was I suppose. I appreciate the opportunity to have played though, thanks!",0,1
8,VCTM2,yk8nxnyvrum43riq,P2,3023768773,8,16,8,1,12,12,73.77.190.239,2018-08-07 16:53:14.539308+00:00,Passed,,,Observed,,,,,8,Male,Hispanic,White,49,College diploma,43,"$70,000 - $79,999",This study was trying to determine of a player would lie to increase their and another's 'earnings' at the expense of a 3rd player.  Basic man-in-the-middle taking advantage.,4,"The instructions could have been a little clearer, for instance pointing out that P2 could lie about the hidden number to increase their earnings.",0,1
9,VCTM2,0aw5r53yrum43riq,P2,3206247853,10,10,10,1,50,12,172.115.224.205,2018-08-07 19:29:50.438562+00:00,Passed,,,Observed,,,,,10,Female,Non hispanic,White,34,College diploma,5,I do not wish to report my income.,To determine if one would lie to benefit themselves,2,"Nothing, it was a good experience.",0,1
10,VCTM2,r98m685crum43riq,P2,3903831880,7,7,7,1,66,12,108.92.36.152,2018-08-08 00:59:46.353021+00:00,Passed,,,Unobserved,7,,,,7,Female,Non hispanic,White,35,College diploma,18,"$30,000 - $39,999",Not sure,4,Not sure,0,1
