id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM2,p3session2data,3,8863244995,11,11,2,1,,1
2,VCTM2,p3session2data,3,6415603221,7,7,5,1,22,1
3,VCTM2,p3session2data,3,6848695283,6,6,6,1,,1
4,VCTM2,p3session2data,3,9670298472,9,20,20,1,,1
5,VCTM2,p3session2data,3,2555844261,10,24,24,1,,1
6,VCTM2,p3session2data,3,5803413177,25,25,25,1,,1
7,VCTM2,p3session2data,3,2636262415,26,30,26,1,6,1
8,VCTM2,p3session2data,3,9229543956,9,9,9,1,,2
9,VCTM2,p3session2data,3,1102954606,9,16,9,1,,2
10,VCTM2,p3session2data,3,9886438161,6,6,10,1,,2
11,VCTM2,p3session2data,3,9731029279,10,10,10,1,,2
12,VCTM2,p3session2data,3,3586570780,13,13,13,1,,2
13,VCTM2,p3session2data,3,2546683242,13,13,13,1,,2
14,VCTM2,p3session2data,3,2155117948,14,14,14,1,5,2
15,VCTM2,p3session2data,3,4878771562,14,14,14,1,,2
16,VCTM2,p3session2data,3,4989705749,8,8,12,1,,3
17,VCTM2,p3session2data,3,8969867207,12,12,12,1,,3
18,VCTM2,p3session2data,3,7452977423,12,12,12,1,41,3
19,VCTM2,p3session2data,3,6015727752,7,7,7,1,,4
20,VCTM2,p3session2data,3,3903831880,7,7,7,1,10,4
21,VCTM2,p3session2data,3,7878492185,7,7,7,1,,4
22,VCTM2,p3session2data,3,4207726966,7,7,7,1,,4
23,VCTM2,p3session2data,3,9539062804,8,8,8,1,,5
24,VCTM2,p3session2data,3,4790423992,8,8,8,1,,5
25,VCTM2,p3session2data,3,4213470115,8,8,8,1,,5
26,VCTM2,p3session2data,3,8584578950,8,8,8,1,,5
27,VCTM2,p3session2data,3,1588621975,8,8,8,1,3,5
28,VCTM2,p3session2data,3,4368069289,7,7,30,1,38,6
29,VCTM2,p3session2data,3,8002770216,14,14,30,1,,6
30,VCTM2,p3session2data,3,1661641404,8,20,30,1,34,6
31,VCTM2,p3session2data,3,1549102309,9,30,30,1,,6
32,VCTM2,p3session2data,3,7271878225,11,11,30,1,,6
33,VCTM2,p3session2data,3,7492235454,8,30,30,1,25,6
34,VCTM2,p3session2data,3,2557874328,11,11,11,1,,8
35,VCTM2,p3session2data,3,9502517222,11,11,11,1,,8
36,VCTM2,p3session2data,3,4723678247,11,30,11,1,15,8
37,VCTM2,p3session2data,3,3862409078,11,11,11,1,,8
38,VCTM2,p3session2data,3,7040798630,11,11,11,1,,8
39,VCTM2,p3session2data,3,9476534030,11,11,11,1,,8
40,VCTM2,p3session2data,3,5492786804,11,11,11,1,,8
41,VCTM2,p3session2data,3,6586489182,11,11,11,1,,8
