id,treat,code_pay,role,group,hidden_number,report1,report2,duplicate,id_play,ranking
1,VCTM2,p3session3data,3,4368069289,7,7,30,1,,1
2,VCTM2,p3session3data,3,8002770216,14,14,30,1,,1
3,VCTM2,p3session3data,3,1102954606,9,16,9,1,9,3
4,VCTM2,p3session3data,3,1549102309,9,30,30,1,,3
5,VCTM2,p3session3data,3,9670298472,9,20,20,1,4,3
6,VCTM2,p3session3data,3,4213470115,8,8,8,1,,8
7,VCTM2,p3session3data,3,8584578950,8,8,8,1,,8
8,VCTM2,p3session3data,3,4790423992,8,8,8,1,,8
9,VCTM2,p3session3data,3,1588621975,8,8,8,1,,8
10,VCTM2,p3session3data,3,7492235454,8,30,30,1,,8
11,VCTM2,p3session3data,3,9539062804,8,8,8,1,23,8
12,VCTM2,p3session3data,3,1661641404,8,20,30,1,,8
13,VCTM2,p3session3data,3,4989705749,8,8,12,1,16,8
14,VCTM2,p3session3data,3,3862409078,11,11,11,1,,9
15,VCTM2,p3session3data,3,5492786804,11,11,11,1,,9
16,VCTM2,p3session3data,3,9476534030,11,11,11,1,,9
17,VCTM2,p3session3data,3,7040798630,11,11,11,1,,9
18,VCTM2,p3session3data,3,2557874328,11,11,11,1,,9
19,VCTM2,p3session3data,3,7271878225,11,11,30,1,,9
20,VCTM2,p3session3data,3,9502517222,11,11,11,1,,9
21,VCTM2,p3session3data,3,4723678247,11,30,11,1,,9
22,VCTM2,p3session3data,3,6586489182,11,11,11,1,,9
23,VCTM2,p3session3data,3,7040798630,11,11,11,2,,9
24,VCTM2,p3session3data,3,6586489182,11,11,11,2,,9
25,VCTM2,p3session3data,3,2557874328,11,11,11,2,,9
26,VCTM2,p3session3data,3,4723678247,11,30,11,2,,9
27,VCTM2,p3session3data,3,5492786804,11,11,11,2,,9
28,VCTM2,p3session3data,3,9502517222,11,11,11,2,,9
29,VCTM2,p3session3data,3,9476534030,11,11,11,2,,9
30,VCTM2,p3session3data,3,7271878225,11,11,30,2,,9
31,VCTM2,p3session3data,3,3862409078,11,11,11,2,,9
32,VCTM2,p3session3data,3,7492235454,8,30,30,2,,8
33,VCTM2,p3session3data,3,9539062804,8,8,8,2,23,8
34,VCTM2,p3session3data,3,4989705749,8,8,12,2,16,8
35,VCTM2,p3session3data,3,8584578950,8,8,8,2,,8
36,VCTM2,p3session3data,3,4213470115,8,8,8,2,,8
37,VCTM2,p3session3data,3,1588621975,8,8,8,2,,8
38,VCTM2,p3session3data,3,1661641404,8,20,30,2,,8
39,VCTM2,p3session3data,3,4790423992,8,8,8,2,,8
40,VCTM2,p3session3data,3,9670298472,9,20,20,2,4,3
41,VCTM2,p3session3data,3,1102954606,9,16,9,2,9,3
42,VCTM2,p3session3data,3,1549102309,9,30,30,2,,3
43,VCTM2,p3session3data,3,8002770216,14,14,30,2,,1
44,VCTM2,p3session3data,3,4368069289,7,7,30,2,,1
