id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ip_address,start_time,correct,chosen_card,observed,belief1,belief2,belief3,belief_observed,payoff,gender,ethnicity,race,age,education,state,income,q1,q2,q3,correct_belief,realdata
1,5,tfxvb467f5kiez9q,3,1292937688,8,8,8,14,1,22,64.217.149.212,2018-08-13 17:09:56.657072+00:00,Passed,,Unobserved,4,6,,,14,Male,Non hispanic,Hispanic/Latino/Latina,25,Some college,11,"$70,000 - $79,999",I would describe the goal of this study as finding out how people adjust their behavior and decisions based on others.,1,I wonder if there were more diagrams on the instructions it would be easier to remember. I wrote down notes so I could remember it better.,0,1
2,5,nvjf7v7rf5kiez9q,3,1487595661,10,10,10,30,1,56,24.96.245.91,2018-08-13 20:17:00.942920+00:00,Passed,,Observed,,10,,,30,Male,Non hispanic,White,41,Masters degree,1,"$80,000 - $99,999","The goal is to determine how participants act when their choices benefit themselves and can be checked, or not checked by others.",2,"Instructions were a little confusing, and if someone didn't understand the order of operations in math, they would have difficulty.",1,1
3,5,kgzklt44f5kiez9q,3,1692692483,11,11,22,22,1,8,71.90.24.52,2018-08-13 15:50:28.307801+00:00,Passed,,Observed,,22,,,22,Female,Non hispanic,White,52,Some college,50,"$30,000 - $39,999",problem solving for the best outcome,2,na,1,1
4,5,vs2a2ya4f5kiez9q,3,2037427464,11,28,28,28,1,19,100.36.53.170,2018-08-13 16:48:19.440303+00:00,Passed,,Observed,,28,,,28,Male,Non hispanic,Hispanic/Latino/Latina,24,College diploma,20,I do not wish to report my income.,to see what numbers people report,3,everything was fine,1,1
5,5,wwpguagqf5kiez9q,3,2041558150,11,28,28,11,1,18,50.82.50.247,2018-08-13 16:45:06.230905+00:00,Passed,,Observed,,24,,,11,Female,Non hispanic,White,31,Some college,16,"$30,000 - $39,999",Try to make as much money as possible. Be accurate to help the next worker.,3,Make the instructions a little less lengthy.,0,1
6,5,tg1dsziqf5kiez9q,3,2120168633,9,9,12,9,1,43,73.74.227.26,2018-08-13 19:18:45.551095+00:00,Passed,,Observed,,10,,,9,Male,Non hispanic,White,28,High school or equivalent,15,"$50,000 - $59,999",Maybe to see if we would report honestly at the cost of money.,2,I thought it was fine.,0,1
7,5,870m75jyf5kiez9q,3,2143382220,8,12,12,8,1,47,24.229.183.162,2018-08-13 19:54:41.789350+00:00,Passed,,Observed,,12,,,8,Female,Non hispanic,White,31,Some college,38,"$50,000 - $59,999",The goal of this study would be to see wether someone would be honest and fair versus not being fair to have more of a financial gain for themselves.,2,No improvement. Was a very interesting and different kind of survey.,1,1
8,5,dvc4nsjrf5kiez9q,3,2217625495,11,11,11,20,1,60,72.220.126.46,2018-08-13 20:27:42.764638+00:00,Passed,,Observed,,11,,,20,Male,Non hispanic,Middle Eastern/North African,22,College diploma,5,"$10,000 - $19,999",I would describe it as weighing the difference between rewards for yourself and for passive players that don't have the same impact.,3,"nothing, everything was fine as is",1,1
9,5,y6hdlj1rf5kiez9q,3,2323589030,7,7,7,30,1,15,146.115.18.186,2018-08-13 16:20:28.121993+00:00,Passed,,Observed,,7,,,30,Male,Non hispanic,Black/African American,36,College diploma,21,"$80,000 - $99,999",I would say this game was testing how honest someone is. Or you could say how ruthless one is or greedy.,2,none,1,1
10,5,u4jbyosqf5kiez9q,3,2471196597,6,6,16,6,1,2,73.21.12.45,2018-08-13 14:31:20.315541+00:00,Passed,,Observed,,15,,,6,Female,Non hispanic,White,21,Some college,11,"$40,000 - $49,999",A game of trying to guess the intentions of others.,1,I think the instructions could be explained a little better.,0,1
11,5,2jmpcn0if5kiez9q,3,2596255926,8,8,8,20,1,20,96.225.131.197,2018-08-13 16:58:50.617803+00:00,Passed,,Observed,,8,,,20,Female,Non hispanic,White,31,Some college,46,"$10,000 - $19,999",Determining how other report depending on earnings.,4,Less confusing instructions.,1,1
