id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,5,p4session2data,4,4329716890,8,30,30,1,1,,1
2,5,p4session2data,4,7380741490,10,10,10,18,1,54,1
3,5,p4session2data,4,8186561616,7,7,22,22,1,35,1
4,5,p4session2data,4,8640489920,25,25,25,25,1,,1
5,5,p4session2data,4,5896017922,26,26,26,26,1,,1
6,5,p4session2data,4,1474789854,11,30,30,28,1,,1
7,5,p4session2data,4,4684508533,7,7,7,7,1,18,2
8,5,p4session2data,4,8749843287,7,7,7,7,1,57,2
9,5,p4session2data,4,2120168633,9,9,12,9,1,6,2
10,5,p4session2data,4,4326117282,9,9,9,9,1,,2
11,5,p4session2data,4,1292937688,8,8,8,14,1,1,2
12,5,p4session2data,4,7947126751,14,14,14,14,1,34,2
13,5,p4session2data,4,6242701602,11,11,11,20,1,,2
14,5,p4session2data,4,5434840864,11,11,11,20,1,,2
15,5,p4session2data,4,9886766084,6,12,12,6,1,42,3
16,5,p4session2data,4,7285394057,6,6,6,6,1,,3
17,5,p4session2data,4,8780493416,6,6,6,6,1,,3
18,5,p4session2data,4,6214172108,8,25,25,8,1,52,3
19,5,p4session2data,4,8318144254,8,12,12,8,1,,3
20,5,p4session2data,4,9902925615,8,8,8,8,1,43,3
21,5,p4session2data,4,2092122399,10,10,10,10,1,,3
22,5,p4session2data,4,8659870355,9,9,9,10,1,,3
23,5,p4session2data,4,5940284493,10,10,10,10,1,,3
24,5,p4session2data,4,4217674473,11,12,12,11,1,,4
25,5,p4session2data,4,7935492887,11,11,11,11,1,,4
26,5,p4session2data,4,6543820761,11,11,11,11,1,28,4
27,5,p4session2data,4,7569427615,11,11,11,11,1,,4
28,5,p4session2data,4,9176687830,6,30,30,30,1,39,16
29,5,p4session2data,4,1531254326,13,18,30,30,1,,16
30,5,p4session2data,4,4645441142,11,30,30,30,1,,16
31,5,p4session2data,4,5053447158,7,30,30,30,1,,16
32,5,p4session2data,4,4255403512,10,10,10,30,1,49,16
33,5,p4session2data,4,2323589030,7,7,7,30,1,9,16
34,5,p4session2data,4,7879072030,13,13,13,30,1,33,16
35,5,p4session2data,4,1446436501,8,30,30,30,1,,16
36,5,p4session2data,4,1980113770,8,8,8,30,1,,16
37,5,p4session2data,4,8978432014,8,30,30,30,1,38,16
38,5,p4session2data,4,7778430228,8,8,8,30,1,,16
39,5,p4session2data,4,3673477777,9,9,9,30,1,14,16
40,5,p4session2data,4,2268325067,12,12,12,30,1,,16
41,5,p4session2data,4,2796030302,10,10,30,30,1,,16
42,5,p4session2data,4,7760096477,11,11,30,30,1,55,16
43,5,p4session2data,4,2229247677,10,10,10,30,1,44,16
