id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,id_play,ranking
1,11,p4session3data,4,3988386972,1,1,1,10,1,25,1
2,11,p4session3data,4,4473165659,11,11,10,11,1,15,1
3,11,p4session3data,4,9552935887,14,14,14,30,1,,1
4,11,p4session3data,4,9571267520,17,30,30,17,1,4,1
5,11,p4session3data,4,7354804682,7,7,7,30,1,,2
6,11,p4session3data,4,9826256583,7,30,30,30,1,,2
7,11,p4session3data,4,9750850173,8,8,8,30,1,,5
8,11,p4session3data,4,8312786506,8,8,10,8,1,22,5
9,11,p4session3data,4,9827094179,8,16,30,30,1,,5
10,11,p4session3data,4,7353253846,8,15,15,8,1,,5
11,11,p4session3data,4,4445149213,8,8,8,8,1,,5
12,11,p4session3data,4,2189621527,10,10,10,10,1,30,5
13,11,p4session3data,4,9345446309,10,10,30,30,1,,5
14,11,p4session3data,4,4630110075,10,18,30,30,1,,5
15,11,p4session3data,4,7093242708,10,10,10,10,1,29,5
16,11,p4session3data,4,3216338204,10,10,10,10,1,26,5
17,11,p4session3data,4,3216338204,10,10,10,10,2,26,5
18,11,p4session3data,4,4630110075,10,18,30,30,2,,5
19,11,p4session3data,4,2189621527,10,10,10,10,2,30,5
20,11,p4session3data,4,9345446309,10,10,30,30,2,,5
21,11,p4session3data,4,7093242708,10,10,10,10,2,29,5
22,11,p4session3data,4,9750850173,8,8,8,30,2,,5
23,11,p4session3data,4,9827094179,8,16,30,30,2,,5
24,11,p4session3data,4,4445149213,8,8,8,8,2,,5
25,11,p4session3data,4,7353253846,8,15,15,8,2,,5
26,11,p4session3data,4,8312786506,8,8,10,8,2,22,5
27,11,p4session3data,4,7354804682,7,7,7,30,2,,2
28,11,p4session3data,4,9826256583,7,30,30,30,2,,2
29,11,p4session3data,4,9571267520,17,30,30,17,2,4,1
30,11,p4session3data,4,9552935887,14,14,14,30,2,,1
31,11,p4session3data,4,4473165659,11,11,10,11,2,15,1
32,11,p4session3data,4,3988386972,1,1,1,10,2,25,1
