id,treat,code_pay,role,group,hidden_number,report1,report2,report3,duplicate,ranking
1,VCTM3,p2session2data,P2,9622978964,2,2,2,2,1,1
2,VCTM3,p2session2data,P2,2471196597,6,6,16,16,1,1
3,VCTM3,p2session2data,P2,6363223281,13,13,13,13,1,2
4,VCTM3,p2session2data,P2,7879072030,13,13,13,13,1,2
5,VCTM3,p2session2data,P2,6725039433,20,20,20,20,1,2
6,VCTM3,p2session2data,P2,4653046425,8,8,20,20,2,2
7,VCTM3,p2session2data,P2,8186561616,7,7,22,22,1,2
8,VCTM3,p2session2data,P2,1692692483,11,11,22,22,2,2
9,VCTM3,p2session2data,P2,5896017922,26,26,26,26,1,2
10,VCTM3,p2session2data,P2,7925140574,26,26,26,26,1,2
11,VCTM3,p2session2data,P2,3398682869,6,6,6,6,2,3
12,VCTM3,p2session2data,P2,8780493416,6,6,6,6,1,3
13,VCTM3,p2session2data,P2,7285394057,6,6,6,6,2,3
14,VCTM3,p2session2data,P2,4684508533,7,7,7,7,2,3
15,VCTM3,p2session2data,P2,2323589030,7,7,7,7,2,3
16,VCTM3,p2session2data,P2,8749843287,7,7,7,7,1,3
17,VCTM3,p2session2data,P2,3348292343,10,18,28,28,1,3
18,VCTM3,p2session2data,P2,2041558150,11,28,28,28,1,3
19,VCTM3,p2session2data,P2,2037427464,11,28,28,28,2,3
20,VCTM3,p2session2data,P2,2596255926,8,8,8,8,1,5
21,VCTM3,p2session2data,P2,9902925615,8,8,8,8,2,5
22,VCTM3,p2session2data,P2,1292937688,8,8,8,8,1,5
23,VCTM3,p2session2data,P2,7778430228,8,8,8,8,2,5
24,VCTM3,p2session2data,P2,1980113770,8,8,8,8,2,5
25,VCTM3,p2session2data,P2,5860424248,14,14,14,14,1,5
26,VCTM3,p2session2data,P2,7947126751,14,14,14,14,1,5
27,VCTM3,p2session2data,P2,5404696637,14,14,14,14,2,5
28,VCTM3,p2session2data,P2,5790943941,14,14,14,14,2,5
29,VCTM3,p2session2data,P2,3781121678,7,7,14,14,2,5
30,VCTM3,p2session2data,P2,3771112010,12,12,25,25,1,6
31,VCTM3,p2session2data,P2,6214172108,8,25,25,25,1,6
32,VCTM3,p2session2data,P2,8640489920,25,25,25,25,1,6
33,VCTM3,p2session2data,P2,9658448250,25,25,25,25,2,6
34,VCTM3,p2session2data,P2,6997717081,25,25,25,25,2,6
35,VCTM3,p2session2data,P2,3727116766,25,25,25,25,2,6
36,VCTM3,p2session2data,P2,8659870355,9,9,9,9,1,7
37,VCTM3,p2session2data,P2,9487939433,9,9,9,9,1,7
38,VCTM3,p2session2data,P2,4641707896,9,9,9,9,1,7
39,VCTM3,p2session2data,P2,3447906315,9,9,9,9,2,7
40,VCTM3,p2session2data,P2,3673477777,9,9,9,9,1,7
41,VCTM3,p2session2data,P2,4326117282,9,9,9,9,1,7
42,VCTM3,p2session2data,P2,2780375113,9,9,9,9,2,7
43,VCTM3,p2session2data,P2,2120168633,9,9,12,12,2,7
44,VCTM3,p2session2data,P2,2268325067,12,12,12,12,1,7
45,VCTM3,p2session2data,P2,4217674473,11,12,12,12,1,7
46,VCTM3,p2session2data,P2,8318144254,8,12,12,12,1,7
47,VCTM3,p2session2data,P2,2143382220,8,12,12,12,1,7
48,VCTM3,p2session2data,P2,9847741918,12,12,12,12,1,7
